"app name","APK","occurrences"
"mpg football","1171093849","3457"
"happy color™ – color by number","1407852246","3427"
"jigsaw puzzles -hd puzzle game","com.jigsaw.picture.collection.puzzle","3377"
"water sort","water.sort.puzzle.color.sort.games","3336"
"match en direct - live score","com.activaweb.matchendirect","3318"
"camscanner - pdf scanner app","com.intsig.camscanner","3311"
"brick block - puzzle game","com.brick.block.game","3310"
"decor life - home design game","com.decor.life","3308"
"rope hero: mafia city wars","com.naxeex.ropehero.mafia.city.wars","3307"
"pipe line puzzle","com.tnf.and.pipelinepuzzle","3304"
"my superstore simulator","6511238101","3300"
"clue master - logic puzzle","com.luwukmeliana.lexicard","3281"
"pet rescue saga","com.king.petrescuesaga","3273"
"callapp: caller id & block","com.callapp.contacts","3266"
"word galaxy challenge","com.fbig.words","3239"
""gumtree: search"," buy & sell"","com.ebay.gumtree.au","3234"
"cooking fever: restaurant game","714796093","3234"
"last stronghold","com.cww.laststronghold","3214"
"zedge™ wallpapers & ringtones","net.zedge.android","3192"
"kleinanzeigen - without ebay","382596778","3189"
"jenny solitaire - card games","com.kidultlovin.royalsolitaire","3179"
"playdoku: block puzzle games","games.burny.playdoku.block.puzzle","3179"
"ryt - music player","com.soundryt.music","3174"
"bike hop: crazy bmx bike jump","bike.hop.fall","3163"
"tile triple 3d","and.lihuhu.tiletriple3d","3159"
"spite & malice - classic game","336580901","3148"
"onet puzzle - tile match game","onet.tile.match.puzzle.android","3127"
"ball sort puzzle","com.gma.ball.sort.puzzle","3126"
"spider solitaire","com.mintgames.spider.solitaire","3097"
"nuts and bolts sort","jp.co.goodroid.hyper.nutsandboltssort","3087"
"snowball.io","com.geishatokyo.snowballio","3067"
"bus frenzy : station shuffle","com.color.busfrenzy","3061"
"arcadia mahjong","com.arcadiastudio.mahjong.puzzle","3058"
"merge cooking:theme restaurant","com.merge.cooking.theme.restaurant.food","3027"
"my little universe","com.savetheworld.game","3018"
"awesome park : idle game","com.albus.awesomepark","3016"
"fantasy jigsaw - hd puzzle","jigsaw.puzzle.color.master.paint.classical.hd.funny","3015"
"tap away 3d","1568058543","3008"
"golf clash","com.playdemic.golf.android","3007"
"jelly field","com.game.juicy.field","2942"
"word trip - word puzzles games","1214223596","2941"
"---","au.com.ninemsn.jump-in","2934"
"nuts and woods","com.neapxnlhwk.woodnuts","2932"
"mahjong solitaire - tile match","com.mahjong.solitaire.tile.match.mahjongclub.onet.link.puzzle","2914"
"parchis club - pro ludo","com.moonfrog.parchisi.club","2899"
"build a queen","com.polystation.buildababe","2897"
"wasteland life: survival idle","com.wasteland.heart","2886"
"2048 number puzzle game","com.estoty.game2048","2880"
"world cricket championship 2","com.nextwave.wcc2","2868"
"tap out - take 3d blocks away","clear.tap.geometrydash.puzzle.away.clash.block.games","2860"
"match frenzy","com.joyplay.matchfrenzy","2849"
"ball sort puz - color game","com.playvalve.ballsort","2841"
"jigsaw master - jigsaw puzzles","com.mintgames.jigsawmaster","2835"
"screw puzzle: wood nut & bolt","com.fc.nut.screw.bolt.washer.fastener.puzzle","2831"
"teacher simulator: school days","com.syubestgames.teachersimulator","2822"
"match 3 tiles-mahjong puzzles","com.tile.match.puzzle.master","2814"
"art puzzle - jigsaw games","1519174001","2809"
"zen color - color by number","1557392270","2808"
"amerigo file manager","605569663","2798"
"water sort puzzle: get color","1569776448","2797"
"food escaper","1661773906","2795"
"rider","com.ketchapp.rider","2793"
"linky: chat with characters ai","com.aigc.ushow.ichat","2755"
"animal onet- tile connect","animal.connect.relax.match.puzzle","2736"
"novelflow","com.rnovel.android.app","2734"
